Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,House Age,Remodel Age,Price per SqFt,Risk Level
2,526350040,20,3,80.0,11622,1,2,3,3,0,4,0,15,1,2,0,2,5,6,1961,1961,1,0,12,13,3,0.0,3,4,1,4,4,3,4,468.0,3,144.0,270.0,882.0,1,4,1,4,896,0,0,896,0.0,0.0,1,0,2,1,4,5,7,0,5,1,1961.0,2,1.0,730.0,4,4,2,140,0,0,0,120,0,3,2,3,0,6,2010,9,4,105000,49,49,117.1875,Medium Risk
3,526351010,20,4,81.0,14267,1,2,0,3,0,0,0,15,2,2,0,2,6,6,1958,1958,3,0,13,14,1,108.0,3,4,1,4,4,3,0,923.0,5,0.0,406.0,1329.0,1,4,1,4,1329,0,0,1329,0.0,0.0,1,1,3,1,2,6,7,0,5,1,1958.0,2,1.0,312.0,4,4,2,393,36,0,0,0,0,3,4,0,12500,6,2010,9,4,172000,52,52,129.4206170052671,Medium Risk
4,526353030,20,4,93.0,11160,1,2,3,3,0,0,0,15,2,2,0,2,7,5,1968,1968,3,0,3,3,3,0.0,2,4,1,4,4,3,0,1065.0,5,0.0,1045.0,2110.0,1,0,1,4,2110,0,0,2110,1.0,0.0,2,1,3,1,0,8,7,2,4,1,1968.0,0,2.0,522.0,4,4,2,0,0,0,0,0,0,3,4,3,0,4,2010,9,4,244000,42,42,115.63981042654028,Low Risk
5,527105010,60,4,74.0,13830,1,2,0,3,0,4,0,8,2,2,0,5,5,5,1997,1998,1,0,12,13,3,0.0,3,4,2,2,4,3,2,791.0,5,0.0,137.0,928.0,1,2,1,4,928,701,0,1629,0.0,0.0,2,1,3,1,4,6,7,1,4,1,1997.0,0,2.0,482.0,4,4,2,212,34,0,0,0,0,3,2,3,0,3,2010,9,4,189900,13,12,116.57458563535911,Low Risk
6,527105030,60,4,78.0,9978,1,2,0,3,0,4,0,8,2,2,0,5,6,6,1998,1998,1,0,12,13,1,20.0,3,4,2,4,4,3,2,602.0,5,0.0,324.0,926.0,1,0,1,4,926,678,0,1604,0.0,0.0,2,1,3,1,2,7,7,1,2,1,1998.0,0,2.0,470.0,4,4,2,360,36,0,0,0,0,3,4,3,0,6,2010,9,4,195500,12,12,121.88279301745636,Low Risk
7,527127150,120,4,41.0,4920,1,2,3,3,0,4,0,25,2,2,4,2,8,5,2001,2001,1,0,5,5,3,0.0,2,4,2,2,4,2,2,616.0,5,0.0,722.0,1338.0,1,0,1,4,1338,0,0,1338,1.0,0.0,2,0,2,1,2,6,7,0,5,1,2001.0,0,2.0,582.0,4,4,2,0,0,170,0,0,0,3,4,3,0,4,2010,9,4,213500,9,9,159.56651718983557,Low Risk
8,527145080,120,4,43.0,5005,1,2,0,1,0,4,0,25,2,2,4,2,8,5,1992,1992,1,0,6,6,3,0.0,2,4,2,2,4,3,0,263.0,5,0.0,1017.0,1280.0,1,0,1,4,1280,0,0,1280,0.0,0.0,2,0,2,1,2,5,7,0,5,1,1992.0,1,2.0,506.0,4,4,2,0,82,0,0,144,0,3,4,3,0,1,2010,9,4,191500,18,18,149.609375,Low Risk
9,527146030,120,4,39.0,5389,1,2,0,3,0,4,0,25,2,2,4,2,8,5,1995,1996,1,0,5,5,3,0.0,2,4,2,2,4,3,2,1180.0,5,0.0,415.0,1595.0,1,0,1,4,1616,0,0,1616,1.0,0.0,2,0,2,1,2,5,7,1,4,1,1995.0,1,2.0,608.0,4,4,2,237,152,0,0,0,0,3,4,3,0,3,2010,9,4,236500,15,14,146.3490099009901,Low Risk
10,527162130,60,4,60.0,7500,1,2,3,3,0,4,0,8,2,2,0,5,7,5,1999,1999,1,0,12,13,3,0.0,3,4,2,4,4,3,5,0.0,5,0.0,994.0,994.0,1,2,1,4,1028,776,0,1804,0.0,0.0,2,1,3,1,2,7,7,1,4,1,1999.0,0,2.0,442.0,4,4,2,140,60,0,0,0,0,3,4,3,0,6,2010,9,4,189000,11,11,104.76718403547672,Low Risk
11,527163010,60,4,75.0,10000,1,2,0,3,0,0,0,8,2,2,0,5,6,5,1993,1994,1,0,6,6,3,0.0,3,4,2,2,4,3,5,0.0,5,0.0,763.0,763.0,1,2,1,4,763,892,0,1655,0.0,0.0,2,1,3,1,4,7,7,1,4,1,1993.0,0,2.0,440.0,4,4,2,157,84,0,0,0,0,3,4,3,0,4,2010,9,4,175900,17,16,106.28398791540783,High Risk
